
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
44:12:44:C4:5A:80, 2024-07-15 13:21:46, 2024-07-15 13:21:53, 11, 130, OPN, ,   , -33,       16,      695,  10.  3. 31. 95,   7, Knesset, 
44:12:44:C4:5A:81, 2024-07-15 13:21:46, 2024-07-15 13:21:53, 11, 130, WPA2, CCMP, PSK, -33,       19,        0,   0.  0.  0.  0,   9, IPMSQUARE, 
C8:B5:AD:35:AE:40, 2024-07-15 13:21:46, 2024-07-15 13:21:50,  1, 130, OPN, ,   , -55,        4,       65,   0.  0.  0.  0,   7, Knesset, 
C8:B5:AD:35:AE:41, 2024-07-15 13:21:46, 2024-07-15 13:21:50,  1, 130, WPA2, CCMP, PSK, -58,        4,        0,   0.  0.  0.  0,   9, IPMSQUARE, 
C8:B5:AD:5C:C7:60, 2024-07-15 13:21:50, 2024-07-15 13:21:50,  1, 130, OPN, ,   , -54,        3,        0,   0.  0.  0.  0,   7, Knesset, 
C8:B5:AD:5C:C7:61, 2024-07-15 13:21:50, 2024-07-15 13:21:50,  1, 130, WPA2, CCMP, PSK, -54,        2,        0,   0.  0.  0.  0,   9, IPMSQUARE, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
08:BE:AC:04:16:24, 2024-07-15 13:21:49, 2024-07-15 13:21:53, -40,       61, 44:12:44:C4:5A:80,
74:DA:38:7E:B0:44, 2024-07-15 13:21:49, 2024-07-15 13:21:49, -64,        2, 44:12:44:C4:5A:80,
08:BE:AC:11:D8:25, 2024-07-15 13:21:49, 2024-07-15 13:21:53, -47,      217, 44:12:44:C4:5A:80,

